Features,K,Score
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",2,0.5989378046817605
"('avg_age', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.5903565647312468
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'night_crash_rate')",2,0.5894556400310229
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.586431577278428
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'weekend_crash_rate')",2,0.5838112289226294
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate')",2,0.5830621139419225
"('avg_age', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'night_crash_rate')",2,0.5804711966193858
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate')",2,0.5767929266649844
"('fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.30331160911010197
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",6,0.301521109356011
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",7,0.2953617369928498
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",9,0.2934922693877619
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",5,0.2910196393933464
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",6,0.2909463361616648
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",8,0.28995895108335473
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",10,0.2896117365474766
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.2871362391675801
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate')",5,0.2826890764826547
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",5,0.2795479316149463
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",2,0.27952208038861176
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",6,0.2791253714839664
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",5,0.2785455379622382
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence')",6,0.27810699901976965
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",5,0.27797822155583446
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",5,0.27719384623130994
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.27396008006699374
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",4,0.273905113908186
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'night_crash_rate')",5,0.27368599608397665
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'avg_responsibility_score')",5,0.273027112848272
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate', 'avg_responsibility_score')",2,0.2724421089295315
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",5,0.27193023452559617
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'night_crash_rate')",2,0.2717522232386586
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate')",2,0.27168853792576875
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",4,0.27158353303083027
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",4,0.27063473874113914
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",4,0.2700098436461817
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",3,0.2697449084711506
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",5,0.2696911145604961
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate')",2,0.269162307152689
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",3,0.2688590414159888
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",6,0.26821200946537416
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate')",4,0.26818924399245897
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",5,0.26780080525795086
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'avg_responsibility_score')",5,0.26497362124730695
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'night_crash_rate', 'avg_responsibility_score')",4,0.26460894181443834
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",3,0.2643085247877963
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.2638288068427765
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'night_crash_rate')",4,0.2638230957817167
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",5,0.263137930976365
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate')",5,0.26311262605518637
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'night_crash_rate')",5,0.2629929902278367
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'weekend_crash_rate', 'road_defect_crash_rate')",5,0.2619582144128944
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",6,0.2618354320863749
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'avg_responsibility_score')",6,0.26179741182485716
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",10,0.2615463280652395
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate')",3,0.2614935819566417
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",2,0.26140356066268683
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",4,0.2613561334331944
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",2,0.26114250002514483
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",4,0.261079186065178
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'avg_responsibility_score')",5,0.26085918582211765
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",3,0.26069253938903714
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",2,0.2606493141493179
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",7,0.260638749896913
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",5,0.25980900092950165
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",7,0.2595433633487091
"('avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",3,0.2587062410502213
"('avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate', 'night_crash_rate')",4,0.25869866967193383
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'avg_responsibility_score')",5,0.2586952763751736
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate')",3,0.25865100044499784
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",4,0.2584921386579684
"('fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate', 'avg_responsibility_score')",3,0.25837607264967144
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",3,0.25819732248182675
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",4,0.25775775874113066
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",2,0.25770699032024863
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",8,0.25718873794655717
"('avg_weather_severity', 'fatality_rate', 'road_defect_crash_rate', 'night_crash_rate', 'avg_responsibility_score')",2,0.25642859543501495
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'night_crash_rate', 'avg_responsibility_score')",3,0.2560701144613977
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",7,0.2557744060786153
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'avg_responsibility_score')",6,0.2557687710088254
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",4,0.25567663092909326
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'avg_responsibility_score')",5,0.2555704523511237
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate')",6,0.2553778017210709
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",4,0.25511651002011065
"('avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",4,0.2549581007471706
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",3,0.25479895960405424
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",7,0.254550641522217
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",3,0.25446374544172046
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate')",6,0.25430647398665973
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",7,0.25410983285979705
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'avg_responsibility_score')",6,0.254073666560922
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'weekend_crash_rate', 'night_crash_rate')",4,0.2536982611792579
"('avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate', 'night_crash_rate')",3,0.25356292107605527
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",3,0.25355216155188615
"('fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",6,0.2532677133315098
"('fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate', 'avg_responsibility_score')",2,0.2532331987215119
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",4,0.25282781464201143
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate')",5,0.2528204642556606
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence')",6,0.25272895138313756
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'night_crash_rate', 'avg_responsibility_score')",2,0.25252322341338396
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",3,0.2524725420215631
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence')",5,0.2524055189957528
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",4,0.25227081412928193
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'road_defect_crash_rate', 'night_crash_rate')",3,0.2522478941305507
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate')",6,0.25223735918614143
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",6,0.25211366666878127
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",10,0.25191021397172897
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",4,0.2517357283700124
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",4,0.2515030823745111
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",3,0.2512299879882728
"('avg_age', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.2511912083851116
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",2,0.2510400096720299
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate')",9,0.2504636479471131
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'night_crash_rate')",6,0.25041262412200355
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate')",5,0.250298681830147
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence')",5,0.25025949772526507
"('fatality_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",2,0.25018439901672324
