CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_daylight.1,sum_lighting_category_night,sum_lighting_category_night.1,sum_lighting_category_unknown,sum_lighting_category_unknown.1,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,111.0,49.3421052631579,30.263157894736842,19,0.0,0.0,0.0,0.0,0.0,14,1,1,2,1,10,10,9,9,0,0,14,5,0,0,0,18,0,0,0,1,10,3,6,0.0,0.0,0.0,0.0,0.0,28.0,1.0,3.0
2017,1,112.0,44.96875,30.0,16,0.0,0.0,0.0,0.0,0.0,9,1,4,1,1,9,9,7,7,0,0,11,4,0,1,0,15,0,0,0,1,5,5,6,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0
2017,1,113.0,44.388888888888886,30.27777777777778,18,0.0,0.0,0.0,0.0,0.0,14,1,3,0,0,13,13,5,5,0,0,14,3,0,0,1,15,0,0,0,3,12,4,2,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0
2017,1,114.0,42.208333333333336,31.041666666666668,48,2.0,0.0,2.0,0.0,0.0,37,0,6,2,3,25,25,23,23,0,0,34,10,1,1,2,40,2,0,0,6,20,14,14,0.0,0.0,0.0,0.0,0.0,78.0,2.0,3.0
2017,1,121.0,39.703125,30.15625,32,0.0,0.0,0.0,0.0,0.0,23,1,7,0,1,19,19,13,13,0,0,20,11,0,0,1,25,0,0,1,6,22,4,6,0.0,0.0,0.0,0.0,0.0,53.0,2.0,3.0
2017,1,122.0,44.067796610169495,29.406779661016948,59,0.0,0.0,0.0,0.0,0.0,49,1,9,0,0,34,34,25,25,0,0,50,9,0,0,0,45,0,0,1,13,30,11,18,0.0,0.0,0.0,0.0,0.0,106.0,1.0,2.0
2017,1,123.0,44.214285714285715,27.142857142857142,14,0.0,0.0,0.0,0.0,0.0,10,0,3,1,0,8,8,6,6,0,0,8,6,0,0,0,14,0,0,0,0,8,3,3,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0
2017,1,124.0,41.25,29.166666666666668,12,0.0,0.0,0.0,0.0,0.0,8,0,3,1,0,8,8,4,4,0,0,7,4,1,0,0,9,0,0,0,3,9,0,3,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2017,1,131.0,40.541666666666664,27.291666666666668,24,0.0,0.0,0.0,0.0,0.0,18,3,1,0,2,21,21,3,3,0,0,19,2,0,1,2,17,2,0,0,5,14,4,6,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0
2017,1,132.0,39.34090909090909,37.72727272727273,22,3.0,0.0,0.0,1.0,2.0,17,0,2,2,1,10,10,11,11,1,1,16,4,0,0,2,17,0,1,0,4,14,2,6,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
2017,1,133.0,34.375,23.75,4,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,3,3,1,1,0,0,3,1,0,0,0,3,0,0,0,1,2,0,2,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
2017,1,211.0,40.58333333333333,28.214285714285715,14,0.0,0.0,0.0,0.0,0.0,10,1,3,0,0,11,11,3,3,0,0,10,4,0,0,0,13,0,0,0,1,6,3,5,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
2017,1,212.0,33.5,30.0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2017,1,213.0,42.7,30.0,5,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,4,4,0,0,1,1,4,0,0,0,1,3,0,0,1,1,3,0,2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2017,1,214.0,27.5,35.0,2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2017,1,215.0,37.3,31.0,5,0.0,0.0,0.0,0.0,0.0,3,0,2,0,0,2,2,3,3,0,0,3,2,0,0,0,4,0,0,0,1,4,0,1,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2017,1,221.0,24.0,30.0,2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2017,1,222.0,42.77272727272727,31.818181818181817,11,2.0,0.0,0.0,0.0,2.0,9,0,2,0,0,9,9,2,2,0,0,9,2,0,0,0,10,0,0,0,1,9,0,2,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0
2017,1,223.0,44.416666666666664,24.375,8,0.0,0.0,0.0,0.0,0.0,7,0,1,0,0,6,6,2,2,0,0,7,1,0,0,0,6,0,0,0,2,7,0,1,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2017,1,224.0,40.25,30.0,4,1.0,0.0,0.0,1.0,0.0,1,0,0,3,0,4,4,0,0,0,0,1,0,1,2,0,4,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
