Features,K,Score
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'weekend_crash_rate', 'pct_neo_patented_drivers')",2,0.5337388487387659
"('avg_age', 'avg_crash_severity_score', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'damage_cost_LB')",2,0.5325129126493019
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",2,0.5296597483431801
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",2,0.5284365366870964
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'weekend_crash_rate')",2,0.5258252724694821
"('avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'damage_cost_LB', 'pct_neo_patented_drivers')",2,0.524994330318259
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'pct_neo_patented_drivers')",2,0.5234509649592439
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'damage_cost_LB', 'weekend_crash_rate')",2,0.5230705424905123
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence')",2,0.3403677778058234
"('avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'weekend_crash_rate', 'pct_neo_patented_drivers')",2,0.31900071944479275
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'pct_neo_patented_drivers')",2,0.3111085467633478
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'weekend_crash_rate')",2,0.30433895173124464
"('avg_crash_severity_score', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",2,0.25679095613369235
"('avg_age', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",2,0.2538797619311156
"('avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'damage_cost_LB')",2,0.2536477174501618
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'damage_cost_LB')",2,0.25352711049930227
"('avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'injury_severity_score', 'speeding_influence', 'damage_cost_LB')",2,0.25248421536904736
