Features,K,Score
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate')",2,0.5383662345299236
"('avg_age', 'avg_crash_severity_score', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",2,0.5371760246439375
"('avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",2,0.5366645882806927
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",2,0.5359191014686698
"('avg_age', 'avg_crash_severity_score', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",2,0.5341694994830415
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",2,0.5338083080312769
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB')",3,0.2150475386020358
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate')",3,0.21476235029207436
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",6,0.2074196838938981
"('avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",7,0.20473097752401365
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",6,0.20265994598832668
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence')",2,0.2020214772906873
"('avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",7,0.20167062715693918
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate')",2,0.20128052495177334
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",7,0.20117658963888413
