CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,111.0,48.525,30.25,20,0.0,0.0,0.0,0.0,0.0,14,1,2,2,1,10,10,0,14,6,0,0,0,19,0,0,0,1,11,3,6,0.0,0.0,0.0,0.0,0.0,28.0,1.0,3.0
2017,1,112.0,44.8235294117647,27.77777777777778,18,0.0,0.0,0.0,0.0,0.0,11,1,4,1,1,10,7,1,13,4,0,1,0,16,0,0,0,2,7,5,6,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0
2017,1,113.0,44.388888888888886,29.5,20,0.0,0.0,0.0,0.0,0.0,15,1,3,0,1,14,5,1,15,4,0,0,1,17,0,0,0,3,13,4,3,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0
2017,1,114.0,42.208333333333336,30.660377358490567,53,4.0,0.0,2.0,0.0,2.0,41,0,6,2,4,29,24,0,38,10,1,1,3,44,2,0,0,7,23,15,15,0.0,0.0,0.0,0.0,0.0,80.0,2.0,4.0
2017,1,121.0,39.703125,30.27777777777778,36,0.0,0.0,0.0,0.0,0.0,26,1,8,0,1,21,15,0,23,12,0,0,1,29,0,0,1,6,24,5,7,0.0,0.0,0.0,0.0,0.0,57.0,2.0,3.0
2017,1,122.0,44.067796610169495,29.09090909090909,66,2.0,0.0,0.0,1.0,1.0,54,1,11,0,0,38,28,0,54,12,0,0,0,51,0,0,1,14,34,12,20,0.0,0.0,0.0,0.0,0.0,110.0,1.0,3.0
2017,1,123.0,44.214285714285715,27.058823529411764,17,0.0,0.0,0.0,0.0,0.0,12,0,3,1,1,9,7,1,10,6,0,0,1,15,0,0,0,2,10,4,3,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0
2017,1,124.0,41.25,28.61111111111111,18,1.0,0.0,0.0,1.0,0.0,13,1,3,1,0,10,8,0,12,5,1,0,0,15,0,0,0,3,12,2,4,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2017,1,131.0,40.541666666666664,27.5,26,0.0,0.0,0.0,0.0,0.0,19,3,1,0,3,21,3,2,20,2,0,1,3,18,2,0,0,6,14,4,8,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0
2017,1,132.0,39.34090909090909,35.55555555555556,27,3.0,0.0,0.0,1.0,2.0,20,0,2,2,3,13,13,1,20,5,0,0,2,21,0,1,0,5,15,4,8,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
2017,1,133.0,34.375,22.857142857142858,7,1.0,0.0,0.0,1.0,0.0,6,0,0,0,1,4,2,1,5,1,0,0,1,5,0,0,0,2,4,0,3,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0
2017,1,211.0,40.58333333333333,28.666666666666668,15,0.0,0.0,0.0,0.0,0.0,11,1,3,0,0,11,4,0,11,4,0,0,0,14,0,0,0,1,6,3,6,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
2017,1,212.0,33.5,30.0,4,0.0,0.0,0.0,0.0,0.0,1,0,2,0,1,1,2,1,1,2,0,0,1,3,0,0,0,1,2,2,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
